Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Months Code,Months,Unit,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F,Y2022,Y2022F,Y2023,Y2023F,Y2024,Y2024F,Y2025,Y2025F
"202","'710","South Africa","358","'01212","Cabbages","5531","Producer Price (SLC/tonne)","7021","Annual value","SLC","227.000000","A","240.000000","A","209.000000","A","296.000000","A","241.000000","A","332.000000","A","326.000000","A","432.000000","A","340.000000","A","415.000000","A","422.000000","A","526.000000","A","636.000000","A","479.000000","A","597.000000","A","708.000000","A","1090.000000","A","924.000000","A","1383.000000","A","1181.000000","A","1276.000000","A","1490.000000","A","1960.000000","A","2002.000000","A","1660.000000","A","1958.000000","A","2098.000000","A","1912.000000","A","2085.000000","A","2427.000000","A","1992.000000","A","2216.000000","A","2737.000000","A","3194.000000","A",,
"202","'710","South Africa","358","'01212","Cabbages","5532","Producer Price (USD/tonne)","7021","Annual value","USD","82.200000","A","84.200000","A","64.000000","A","83.400000","A","66.400000","A","77.200000","A","70.700000","A","78.100000","A","55.700000","A","59.800000","A","49.000000","A","49.900000","A","84.100000","A","74.200000","A","93.900000","A","104.600000","A","154.700000","A","111.800000","A","163.200000","A","161.300000","A","175.700000","A","181.500000","A","203.000000","A","184.500000","A","130.100000","A","133.100000","A","157.300000","A","144.400000","A","144.300000","A","147.500000","A","134.800000","A","135.500000","A","148.300000","A","174.300000","A",,
"202","'710","South Africa","358","'01212","Cabbages","5539","Producer Price Index (2014-2016 = 100)","7021","Annual value","","12.120000","E","12.810000","E","11.160000","E","15.800000","E","12.860000","E","17.720000","E","17.400000","E","23.060000","E","18.150000","E","22.150000","E","22.530000","E","28.080000","E","33.950000","E","25.570000","E","31.870000","E","37.790000","E","58.190000","E","49.320000","E","73.830000","E","63.040000","E","68.110000","E","79.540000","E","104.630000","E","106.870000","E","88.610000","E","104.520000","E","111.990000","E","102.060000","E","111.300000","E","129.560000","E","106.330000","E","118.290000","E","146.100000","E","170.500000","E","194.890000","E"
"202","'710","South Africa","426","'01251","Carrots and turnips","5530","Producer Price (LCU/tonne)","7021","Annual value","LCU","441.000000","A","454.000000","A","420.000000","A","584.000000","A","501.000000","A","613.000000","A","664.000000","A","766.000000","A","760.000000","A","900.000000","A","998.000000","A","1141.000000","A","1144.000000","A","1035.000000","A","1258.000000","A","1470.000000","A","1744.000000","A","1677.000000","A","2298.000000","A","2640.000000","A","2306.000000","A","2219.000000","A","2631.000000","A","3054.000000","A","2516.000000","A","3163.000000","A","3125.000000","A","3358.000000","A","3235.000000","A","3628.000000","A","3353.000000","A","3684.000000","A","5343.000000","A","5606.000000","A",,
"202","'710","South Africa","426","'01251","Carrots and turnips","5530","Producer Price (LCU/tonne)","7001","January","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2592.000000","A","2251.000000","A","2229.000000","A","3194.000000","A","5091.000000","A","2513.000000","A","3746.000000","A","3254.000000","A","2645.000000","A","4070.000000","A","3514.000000","A","3939.300000","A","2807.200000","A","5224.000000","A","5428.900000","A","5688.400000","A"
"202","'710","South Africa","426","'01251","Carrots and turnips","5530","Producer Price (LCU/tonne)","7002","February","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2880.000000","A","2132.000000","A","2406.000000","A","2653.000000","A","4828.000000","A","2722.000000","A","4401.000000","A","4065.000000","A","3412.000000","A","4019.000000","A","4534.100000","A","4680.400000","A","3148.000000","A","6204.000000","A","4781.900000","A",,
"202","'710","South Africa","426","'01251","Carrots and turnips","5530","Producer Price (LCU/tonne)","7003","March","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3775.000000","A","3120.000000","A","2804.000000","A","3901.000000","A","5648.000000","A","2869.000000","A","6038.000000","A","4967.000000","A","4609.000000","A","4361.000000","A","5310.700000","A","6436.600000","A","4335.800000","A","6950.000000","A","6126.100000","A",,
"202","'710","South Africa","426","'01251","Carrots and turnips","5530","Producer Price (LCU/tonne)","7004","April","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5056.000000","A","3430.000000","A","3060.000000","A","4591.000000","A","5829.000000","A","4363.000000","A","6259.000000","A","5624.000000","A","4156.000000","A","4512.000000","A","7149.800000","A","5608.200000","A","5280.900000","A","7523.000000","A","8693.500000","A",,
"202","'710","South Africa","426","'01251","Carrots and turnips","5530","Producer Price (LCU/tonne)","7005","May","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4344.000000","A","3493.000000","A","2571.000000","A","3380.000000","A","4452.000000","A","3312.000000","A","5449.000000","A","5340.000000","A","4638.000000","A","4268.000000","A","5438.400000","A","4632.000000","A","4495.200000","A","6848.000000","A","6298.300000","A",,
"202","'710","South Africa","426","'01251","Carrots and turnips","5530","Producer Price (LCU/tonne)","7006","June","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3044.000000","A","3148.000000","A","2144.000000","A","2547.000000","A","2936.000000","A","2400.000000","A","3636.000000","A","3588.000000","A","3757.000000","A","2906.000000","A","4243.200000","A","3741.800000","A","4152.000000","A","4006.000000","A","4932.300000","A",,
